what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887727342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887739077
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1348887745107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887749266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887751907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887756958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887762942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887765384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887768433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887809091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887812367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887818341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348887890463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887910656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348887918728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348887932083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348887938242
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348887951455
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348887951572
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348887959114
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348887959256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348887976640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348887985540
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348888000023
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348888000078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348888000091
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348888031997
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348888032077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348888032498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348888056726
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348888057862
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348888057960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348888058488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1348888066877
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348888088631
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348888088780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348888089287
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1348888089950
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1348888090034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888095813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888096493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888102657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888147290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888147338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888334180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888334233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888373520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888373528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888491842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888492378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888493981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888494281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888519209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888519234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888645860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888646190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888769974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888770058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888897610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888899569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888953761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888953790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888973467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888973476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888973850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888973862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888983391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888983613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888984233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888984252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888984778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888984865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888986311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348888986327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889111305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889111321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889129594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889130487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889146521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889148178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889381351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889381356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1348889387100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889387192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348889417743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889419021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889453588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889455936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889536260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889536301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889536587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889536625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889537404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889540757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348889541138
